,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
4842,Echs Polyclinic,Healthcare ,4.2,155 Reviews,21 years old,"Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal"
4843,Tata Boeing Aerospace,Defence & Aerospace ,3.7,155 Reviews,9 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
4844,Lakshmi Life Sciences,Defence & Aerospace ,4.1,155 Reviews,20 years old,"Job Security, Skill Development / Learning, Work Life Balance",
4845,Ziff Davis Performance Marketing,Marketing & Advertising ,3.8,155 Reviews,19 years old,Promotions / Appraisal,
4846,Fraazo,Internet ,3.4,155 Reviews,8 years old,"Job Security, Promotions / Appraisal, Company Culture",
4847,HYUNDAI TRANSYS INDIA,Auto Components ,4.0,155 Reviews,,"Promotions / Appraisal, Salary & Benefits, Job Security",
4848,Kaveri Seed Company,,4.2,154 Reviews,48 years old,"Work Life Balance, Job Security, Work Satisfaction",
4849,REI Systems,IT Services & Consulting ,4.5,154 Reviews,12 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
4850,Peps Industries,Furniture & Furnishing ,3.7,154 Reviews,18 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
4851,Sv Creditline,NBFC ,3.6,154 Reviews,14 years old,"Job Security, Work Satisfaction, Promotions / Appraisal",
4852,Quest Diagnostics,Clinical Research ,3.5,154 Reviews,57 years old,"Work Life Balance, Salary & Benefits","Job Security, Skill Development / Learning, Promotions / Appraisal"
4853,Vedang Radio Technology,Telecom ,4.1,154 Reviews,19 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
4854,Oxford University Press,Printing & Publishing ,3.8,154 Reviews,546 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
4855,GKB RX Lens,Medical Equipment ,4.2,154 Reviews,65 years old,"Job Security, Work Satisfaction, Company Culture",Promotions / Appraisal
4856,Indo Count Industries,Fashion & Textile ,4.0,154 Reviews,36 years old,"Job Security, Work Life Balance",Promotions / Appraisal
4857,D'Decor Home Fabrics,Fashion & Textile ,4.0,154 Reviews,25 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning"
