"addressCity","addressState","price","statusType","statusText"
"Los Angeles","CA","$4,100,000","FOR_SALE","Multi-family home for sale"
"Marina Del Rey","CA","$1,995,000","FOR_SALE","Condo for sale"
"Venice","CA","$2,200,000","FOR_SALE","Condo for sale"
"Marina Del Rey","CA","$669,500","FOR_SALE","Condo for sale"
"Venice","CA","$3,185,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$6,175,000","FOR_SALE","House for sale"
"Venice","CA","$2,190,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$4,575,000","FOR_SALE","House for sale"
"Venice","CA","$1,800,000","FOR_SALE","House for sale"
"Venice","CA","$4,975,000","FOR_SALE","House for sale"
"Playa Del Rey","CA","$2,300,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$3,295,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$6,450,000","FOR_SALE","House for sale"
"Los angeles","CA","$1,945,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$899,900","FOR_SALE","Multi-family home for sale"
"Marina Del Rey","CA","$861K","FOR_SALE","Auction"
"Los Angeles","CA","$2,499,999","FOR_SALE","Foreclosure"
"Culver City","CA","$1,900,000","FOR_SALE","House for sale"
"Venice","CA","$4,675,000","FOR_SALE","House for sale"
"Venice","CA","$3,495,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$2,495,000","FOR_SALE","House for sale"
"Playa Del Rey","CA","$1,775,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$1,299,000","FOR_SALE","House for sale"
"Los Angeles","CA","$799,990","FOR_SALE","Townhouse for sale"
"Los Angeles","CA","$1,995,000","FOR_SALE","House for sale"
"Venice","CA","$3,300,000","FOR_SALE","House for sale"
"Los Angeles","CA","$4,100,000","FOR_SALE","New construction"
"Playa Del Rey","CA","$849,000","FOR_SALE","Townhouse for sale"
"Playa Del Rey","CA","$799,900","FOR_SALE","Townhouse for sale"
"Los Angeles","CA","$2,199,000","FOR_SALE","House for sale"
"Venice","CA","$4,250,000","FOR_SALE","House for sale"
"Venice","CA","$1,295,000","FOR_SALE","House for sale"
"Venice","CA","$2,650,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$1,550,000","FOR_SALE","House for sale"
"Venice","CA","$3,350,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,249,000","FOR_SALE","House for sale"
"Playa Del Rey","CA","$580,000","FOR_SALE","Condo for sale"
"Venice","CA","$1,700,000","FOR_SALE","House for sale"
"Playa Vista","CA","$2,329,000","FOR_SALE","House for sale"
"Venice","CA","$3,750,000","FOR_SALE","House for sale"
"Los Angeles","CA","$4,750,000","FOR_SALE","New construction"
"Playa Del Rey","CA","$575,000","FOR_SALE","Condo for sale"
